job_id,job_title,experience_level,work_mode,primary_skill,salary_usd
2528,Software Engineer,Senior,Hybrid,PyTorch,168639
2529,Data Analyst,Mid,Hybrid,Power BI,92168
2530,Software Engineer,Mid,Hybrid,AWS,110596
2531,Data Engineer,Entry,Remote,Python,86864
2532,Machine Learning Engineer,Mid,On-Site,Python,119580
2533,Software Engineer,Mid,Remote,Power BI,117348
2534,Data Analyst,Mid,Hybrid,Spark,104203
2535,Data Engineer,Mid,Hybrid,Python,130059
2536,Data Engineer,Mid,Remote,Python,113213
2537,Machine Learning Engineer,Mid,Remote,SQL,105180
2538,Data Analyst,Entry,Remote,AWS,74150
2539,Data Scientist,Mid,Remote,AWS,133357
2540,Data Scientist,Mid,Remote,Tableau,124781
2541,Software Engineer,Mid,Remote,Python,124657
2542,Data Analyst,Senior,Remote,Python,146131
2543,Data Engineer,Senior,Remote,SQL,130074
2544,Data Scientist,Mid,On-Site,Tableau,91061
2545,Machine Learning Engineer,Senior,Hybrid,AWS,151890
2546,Data Analyst,Mid,Remote,SQL,111783
2547,Data Engineer,Senior,Remote,PyTorch,181849
2548,Software Engineer,Senior,Hybrid,PyTorch,134158
2549,Data Analyst,Mid,Remote,Python,118008
2550,Data Scientist,Senior,Remote,Tableau,164977
2551,Data Scientist,Mid,Remote,SQL,131286
2552,Data Engineer,Mid,On-Site,Spark,92799
2553,Data Analyst,Entry,Hybrid,AWS,64699
2554,Data Engineer,Lead,Remote,AWS,217573
2555,Data Analyst,Entry,On-Site,AWS,79130
2556,Data Analyst,Mid,Remote,AWS,99413
2557,Machine Learning Engineer,Entry,On-Site,Tableau,89882
2558,Software Engineer,Entry,Remote,PyTorch,94818
2559,Software Engineer,Senior,Hybrid,SQL,154034
2560,Data Analyst,Mid,Hybrid,R,98554
2561,Software Engineer,Senior,On-Site,PyTorch,158680
2562,Machine Learning Engineer,Lead,Remote,AWS,220283
2563,Data Scientist,Entry,Hybrid,Python,79777
2564,Data Engineer,Senior,Remote,Python,149636
2565,Data Analyst,Lead,Hybrid,SQL,192516
2566,Data Scientist,Senior,Remote,AWS,131604
2567,Data Scientist,Mid,Remote,SQL,107902
2568,Software Engineer,Lead,Remote,Spark,196020
2569,Machine Learning Engineer,Mid,On-Site,PyTorch,115970
2570,Machine Learning Engineer,Mid,Remote,AWS,106136
2571,Data Analyst,Senior,Remote,Snowflake,135599
2572,Data Analyst,Mid,Remote,Python,97884
2573,Data Analyst,Senior,On-Site,Power BI,154013
2574,Data Engineer,Mid,Hybrid,SQL,105887
2575,Software Engineer,Senior,On-Site,SQL,172920
2576,Data Engineer,Mid,Remote,Power BI,98376
2577,Software Engineer,Mid,Remote,Python,93105
2578,Data Engineer,Lead,Remote,Tableau,228507
2579,Data Scientist,Mid,Hybrid,Power BI,96821
2580,Data Engineer,Senior,Remote,AWS,132066
2581,Machine Learning Engineer,Entry,Remote,SQL,78287
2582,Software Engineer,Entry,Remote,SQL,70637
2583,Data Analyst,Entry,Hybrid,PyTorch,67850
2584,Data Scientist,Senior,On-Site,AWS,146661
2585,Data Scientist,Mid,On-Site,Python,106692
2586,Machine Learning Engineer,Lead,On-Site,Spark,197523
2587,Data Scientist,Mid,Remote,AWS,121919
2588,Machine Learning Engineer,Entry,Hybrid,PyTorch,61484
2589,Data Scientist,Mid,Remote,Spark,124155
2590,Data Engineer,Entry,Hybrid,SQL,92652
2591,Data Scientist,Senior,Hybrid,AWS,180654
2592,Data Scientist,Senior,On-Site,SQL,174388
2593,Data Engineer,Entry,Remote,PyTorch,89978
2594,Data Scientist,Senior,Hybrid,PyTorch,157294
2595,Data Analyst,Mid,Hybrid,Spark,107295
2596,Machine Learning Engineer,Entry,Remote,Spark,93958
2597,Data Analyst,Mid,Hybrid,Tableau,114589
2598,Data Analyst,Lead,Hybrid,Spark,230384
2599,Machine Learning Engineer,Entry,Hybrid,SQL,64610
2600,Data Analyst,Senior,Remote,SQL,177927
